"V2" "V3" "V4" "location" "arm"
"SLC25A33" "chr1" 9599541 9645237 "1p36.22" "p"
"CLSTN1" "chr1" 9789084 9884584 "1p36.22" "p"
"CTNNBIP1" "chr1" 9908334 9970394 "1p36.22" "p"
"LZIC" "chr1" 9982173 10003465 "1p36.22" "p"
"UBE4B" "chr1" 10092890 10241297 "1p36.22" "p"
"KIF1B" "chr1" 10270863 10441661 "1p36.22" "p"
"PGD" "chr1" 10458649 10480201 "1p36.22" "p"
"APITD1" "chr1" 10490159 10512210 NA "p"
"DFFA" "chr1" 10516579 10532583 "1p36.22" "p"
"PEX14" "chr1" 10532345 10690815 "1p36.22" "p"
"CASZ1" "chr1" 10696661 10856707 "1p36.22" "p"
"TARDBP" "chr1" 11072414 11085796 "1p36.22" "p"
"SRM" "chr1" 11114641 11120081 "1p36.22" "p"
"EXOSC10" "chr1" 11126675 11159938 "1p36.22" "p"
"MTOR" "chr1" 11166592 11322564 "1p36.22" "p"
"UBIAD1" "chr1" 11333263 11356106 "1p36.22" "p"
"FBXO2" "chr1" 11708424 11715842 "1p36.22" "p"
"FBXO6" "chr1" 11724181 11734411 "1p36.22" "p"
"MAD2L2" "chr1" 11734537 11751707 "1p36.22" "p"
"AGTRAP" "chr1" 11796141 11814859 "1p36.22" "p"
"MTHFR" "chr1" 11845780 11866977 "1p36.22" "p"
"KIAA2013" "chr1" 11979648 11986485 "1p36.22" "p"
"PLOD1" "chr1" 11994262 12035595 "1p36.22" "p"
"MFN2" "chr1" 12040238 12073571 "1p36.22" "p"
"MIIP" "chr1" 12079523 12092102 "1p36.22" "p"
"TNFRSF1B" "chr1" 12227060 12269285 "1p36.22" "p"
"VPS13D" "chr1" 12290124 12572099 "1p36.22-p36.21" "p"
"DHRS3" "chr1" 12627939 12677737 "1p36.21" "p"
"PRDM2" "chr1" 14026693 14151574 "1p36.21" "p"
"TMEM51" "chr1" 15479028 15546976 "1p36.21" "p"
"EFHD2" "chr1" 15736391 15756839 "1p36.21" "p"
"DNAJC16" "chr1" 15853308 15918874 "1p36.21" "p"
"AGMAT" "chr1" 15898848 15911605 "1p36.21" "p"
"DDI2" "chr1" 15943995 15995539 "1p36.21" "p"
"PLEKHM2" "chr1" 16010827 16061264 "1p36.21" "p"
"FBLIM1" "chr1" 16083102 16113089 "1p36.21" "p"
"SPEN" "chr1" 16174359 16266955 "1p36.21-p36.13" "p"
"EPHA2" "chr1" 16450832 16482582 "1p36.13" "p"
"SZRD1" "chr1" 16679070 16724640 "1p36.13" "p"
"NECAP2" "chr1" 16767167 16786573 "1p36.13" "p"
"RP11-108M9.4" "chr1" 17215033 17216144 NA "p"
"ATP13A2" "chr1" 17312453 17338423 "1p36.13" "p"
"SDHB" "chr1" 17345217 17380665 "1p36.13" "p"
"PADI2" "chr1" 17393256 17445948 "1p36.13" "p"
"RCC2" "chr1" 17733256 17766220 "1p36.13" "p"
"ARHGEF10L" "chr1" 17866330 18024369 "1p36.13" "p"
"ALDH4A1" "chr1" 19197926 19229275 "1p36.13" "p"
"UBR4" "chr1" 19401000 19536770 "1p36.13" "p"
"EMC1" "chr1" 19542158 19578046 "1p36.13" "p"
"MRTO4" "chr1" 19578033 19586622 "1p36.13" "p"
"AKR7A3" "chr1" 19609052 19615744 "1p36.13" "p"
"AKR7A2" "chr1" 19630459 19638640 "1p36.13" "p"
"CAPZB" "chr1" 19665267 19812066 "1p36.13" "p"
"MINOS1" "chr1" 19923477 19956314 NA "p"
"NBL1" "chr1" 19967048 19984945 "1p36.13" "p"
"TMCO4" "chr1" 20008706 20126438 "1p36.13" "p"
"RNF186" "chr1" 20140523 20141771 "1p36.13" "p"
"OTUD3" "chr1" 20209006 20239438 "1p36.13" "p"
"PLA2G2A" "chr1" 20301925 20306932 "1p36.13" "p"
"CAMK2N1" "chr1" 20808884 20812713 "1p36.12" "p"
"MUL1" "chr1" 20825943 20834654 "1p36.12" "p"
"CDA" "chr1" 20915441 20945401 "1p36.12" "p"
"PINK1" "chr1" 20959948 20978004 "1p36.12" "p"
"DDOST" "chr1" 20978270 20988000 "1p36.12" "p"
"HP1BP3" "chr1" 21069154 21113816 "1p36.12" "p"
"EIF4G3" "chr1" 21132963 21503377 "1p36.12" "p"
"ECE1" "chr1" 21543740 21671997 "1p36.12" "p"
"RAP1GAP" "chr1" 21922708 21995801 "1p36.12" "p"
"USP48" "chr1" 22004791 22110099 "1p36.12" "p"
"HSPG2" "chr1" 22148738 22263790 "1p36.12" "p"
"CDC42" "chr1" 22379120 22419437 "1p36.12" "p"
"EPHB2" "chr1" 23037332 23241818 "1p36.12" "p"
"KDM1A" "chr1" 23345941 23410182 "1p36.12" "p"
"LUZP1" "chr1" 23410516 23504301 "1p36.12" "p"
"HNRNPR" "chr1" 23630264 23670829 "1p36.12" "p"
"TCEA3" "chr1" 23707554 23751233 "1p36.12" "p"
"ID3" "chr1" 23884409 23886285 "1p36.12" "p"
"RPL11" "chr1" 24018269 24022915 "1p36.11" "p"
"TCEB3" "chr1" 24069645 24088549 NA "p"
"PITHD1" "chr1" 24104895 24114722 "1p36.11" "p"
"LYPLA2" "chr1" 24117460 24122029 "1p36.11" "p"
"GALE" "chr1" 24122089 24127271 "1p36.11" "p"
"HMGCL" "chr1" 24128375 24165110 "1p36.11" "p"
"FUCA1" "chr1" 24171567 24194784 "1p36.11" "p"
"PNRC2" "chr1" 24285599 24289952 "1p36.11" "p"
"SRSF10" "chr1" 24291294 24307417 "1p36.11" "p"
"IL22RA1" "chr1" 24446261 24469611 "1p36.11" "p"
"NIPAL3" "chr1" 24742284 24799466 "1p36.11" "p"
"RCAN3" "chr1" 24829387 24867530 "1p36.11" "p"
"SRRM1" "chr1" 24958207 24999758 "1p36.11" "p"
"CLIC4" "chr1" 25071848 25170815 "1p36.11" "p"
"SYF2" "chr1" 25549170 25558993 "1p36.11" "p"
"TMEM50A" "chr1" 25664408 25688852 "1p36.11" "p"
"TMEM57" "chr1" 25757388 25826700 NA "p"
"LDLRAP1" "chr1" 25870071 25895377 "1p36.11" "p"
"SEPN1" "chr1" 26126667 26144713 NA "p"
"MTFR1L" "chr1" 26145131 26159432 "1p36.11" "p"
"STMN1" "chr1" 26210672 26233482 "1p36.11" "p"
"PAFAH2" "chr1" 26286258 26324648 "1p36.11" "p"
"ZNF593" "chr1" 26496362 26498551 "1p36.11" "p"
"CNKSR1" "chr1" 26503894 26516377 "1p36.11" "p"
"SH3BGRL3" "chr1" 26605667 26608007 "1p36.11" "p"
"UBXN11" "chr1" 26607819 26644854 "1p36.11" "p"
"CD52" "chr1" 26644448 26647014 "1p36.11" "p"
"AIM1L" "chr1" 26648350 26680621 NA "p"
"DHDDS" "chr1" 26758773 26797785 "1p36.11" "p"
"HMGN2" "chr1" 26798941 26802463 "1p36.11" "p"
"RPS6KA1" "chr1" 26856252 26901521 "1p36.11" "p"
"ARID1A" "chr1" 27022524 27108595 "1p36.11" "p"
"PIGV" "chr1" 27113963 27124889 "1p36.11" "p"
"ZDHHC18" "chr1" 27153201 27184093 "1p36.11" "p"
"SFN" "chr1" 27189633 27190947 "1p36.11" "p"
"GPN2" "chr1" 27202624 27216788 "1p36.11" "p"
"NUDC" "chr1" 27226729 27273353 "1p36.11" "p"
"SLC9A1" "chr1" 27425306 27493472 "1p36.11" "p"
"WDTC1" "chr1" 27561007 27635110 "1p36.11" "p"
"TMEM222" "chr1" 27648651 27662891 "1p36.11" "p"
"SYTL1" "chr1" 27668513 27680421 "1p36.11" "p"
"WASF2" "chr1" 27730730 27816669 "1p36.11" "p"
"IFI6" "chr1" 27992572 27998729 "1p35.3" "p"
"FAM76A" "chr1" 28052490 28089633 "1p35.3" "p"
"STX12" "chr1" 28099694 28150963 "1p35.3" "p"
"PPP1R8" "chr1" 28157289 28178187 "1p35.3" "p"
"RPA2" "chr1" 28218035 28241257 "1p35.3" "p"
"SMPDL3B" "chr1" 28261504 28285668 "1p35.3" "p"
"EYA3" "chr1" 28296855 28415207 "1p35.3" "p"
"DNAJC8" "chr1" 28525967 28559536 "1p35.3" "p"
"ATPIF1" "chr1" 28562620 28573417 NA "p"
"SESN2" "chr1" 28586038 28609002 "1p35.3" "p"
"PHACTR4" "chr1" 28696114 28826881 "1p35.3" "p"
"RCC1" "chr1" 28832455 28865812 "1p35.3" "p"
"TRNAU1AP" "chr1" 28879597 28905051 "1p35.3" "p"
"SNHG12" "chr1" 28905050 28909495 "1p35.3" "p"
"TAF12" "chr1" 28915835 28969597 "1p35.3" "p"
"GMEB1" "chr1" 28995244 29045865 "1p35.3" "p"
"YTHDF2" "chr1" 29063133 29096287 "1p35.3" "p"
"EPB41" "chr1" 29213603 29446553 "1p35.3" "p"
"SRSF4" "chr1" 29474255 29508499 "1p35.3" "p"
"MECR" "chr1" 29519385 29557454 "1p35.3" "p"
"SDC3" "chr1" 31342314 31381608 "1p35.2" "p"
"PUM1" "chr1" 31404353 31538838 "1p35.2" "p"
"SNRNP40" "chr1" 31732417 31769662 "1p35.2" "p"
"ZCCHC17" "chr1" 31769842 31837783 "1p35.2" "p"
"SERINC2" "chr1" 31882412 31907525 "1p35.2" "p"
"TINAGL1" "chr1" 32042116 32053288 "1p35.2" "p"
"PEF1" "chr1" 32095463 32110497 "1p35.2" "p"
"COL16A1" "chr1" 32117848 32169920 "1p35.2" "p"
"PTP4A2" "chr1" 32372022 32410457 "1p35.2" "p"
"KHDRBS1" "chr1" 32479430 32526451 "1p35.2" "p"
"TMEM39B" "chr1" 32537632 32568467 "1p35.2" "p"
"KPNA6" "chr1" 32573639 32642169 "1p35.2" "p"
"TXLNA" "chr1" 32645287 32663886 "1p35.2" "p"
"TMEM234" "chr1" 32680073 32687972 "1p35.2" "p"
"EIF3I" "chr1" 32687529 32697205 "1p35.2" "p"
"HDAC1" "chr1" 32757687 32799236 "1p35.2-p35.1" "p"
"MARCKSL1" "chr1" 32799433 32801980 "1p35.1" "p"
"BSDC1" "chr1" 32830704 32860332 "1p35.1" "p"
"ZBTB8OS" "chr1" 33065773 33116504 "1p35.1" "p"
"RBBP4" "chr1" 33116743 33151812 "1p35.1" "p"
"KIAA1522" "chr1" 33207486 33240571 "1p35.1" "p"
"YARS" "chr1" 33240840 33283754 NA "p"
"S100PBP" "chr1" 33282368 33324476 "1p35.1" "p"
"TMEM54" "chr1" 33360195 33367039 "1p35.1" "p"
"RNF19B" "chr1" 33402046 33430286 "1p35.1" "p"
"AK2" "chr1" 33473585 33546597 "1p35.1" "p"
"PHC2" "chr1" 33789224 33896653 "1p35.1" "p"
"SMIM12" "chr1" 35178338 35325417 "1p34.3" "p"
"GJB3" "chr1" 35246790 35251970 "1p34.3" "p"
"SFPQ" "chr1" 35641979 35658749 "1p34.3" "p"
"ZMYM4" "chr1" 35734568 35887659 "1p34.3" "p"
"KIAA0319L" "chr1" 35899091 36023551 "1p34.3" "p"
"PSMB2" "chr1" 36067185 36107445 "1p34.3" "p"
"CLSPN" "chr1" 36185819 36235568 "1p34.3" "p"
"AGO1" "chr1" 36335409 36395211 "1p34.3" "p"
"AGO3" "chr1" 36396319 36538101 "1p34.3" "p"
"ADPRHL2" "chr1" 36554476 36559533 NA "p"
"TRAPPC3" "chr1" 36602173 36615098 "1p34.3" "p"
"MAP7D1" "chr1" 36621180 36646450 "1p34.3" "p"
"THRAP3" "chr1" 36690017 36770958 "1p34.3" "p"
"STK40" "chr1" 36805225 36851497 "1p34.3" "p"
"LSM10" "chr1" 36856839 36863493 "1p34.3" "p"
"MRPS15" "chr1" 36921319 36930038 "1p34.3" "p"
"ZC3H12A" "chr1" 37940153 37949980 "1p34.3" "p"
"MEAF6" "chr1" 37958176 37980375 "1p34.3" "p"
"GNL2" "chr1" 38032417 38061536 "1p34.3" "p"
"C1orf109" "chr1" 38147242 38157914 "1p34.3" "p"
"CDCA8" "chr1" 38158090 38175391 "1p34.3" "p"
"YRDC" "chr1" 38268616 38273857 "1p34.3" "p"
"C1orf122" "chr1" 38272651 38275126 "1p34.3" "p"
"MTF1" "chr1" 38275239 38325292 "1p34.3" "p"
"SF3A3" "chr1" 38422647 38456593 "1p34.3" "p"
"UTP11L" "chr1" 38474930 38490496 NA "p"
"RRAGC" "chr1" 39303870 39325495 "1p34.3" "p"
"MYCBP" "chr1" 39328636 39347289 "1p34.3" "p"
"RHBDL2" "chr1" 39351479 39407471 "1p34.3" "p"
"AKIRIN1" "chr1" 39456895 39471731 "1p34.3" "p"
"NDUFS5" "chr1" 39491990 39500308 "1p34.3" "p"
"MACF1" "chr1" 39546988 39952849 "1p34.3" "p"
"PABPC4" "chr1" 40026488 40042462 "1p34.3" "p"
"PPIE" "chr1" 40157854 40229586 "1p34.2" "p"
"TRIT1" "chr1" 40306723 40349183 "1p34.2" "p"
"MFSD2A" "chr1" 40420802 40435638 "1p34.2" "p"
"CAP1" "chr1" 40505905 40538321 "1p34.2" "p"
"PPT1" "chr1" 40538379 40563375 "1p34.2" "p"
"RLF" "chr1" 40627045 40706593 "1p34.2" "p"
"ZMPSTE24" "chr1" 40723779 40759856 "1p34.2" "p"
"SMAP2" "chr1" 40810522 40888998 "1p34.2" "p"
"NFYC" "chr1" 41157320 41237275 "1p34.2" "p"
"CITED4" "chr1" 41326729 41328018 "1p34.2|1p35-p34" "p"
"CTPS1" "chr1" 41445007 41478235 "1p34.2" "p"
"SCMH1" "chr1" 41492872 41707826 "1p34.2" "p"
"GUCA2B" "chr1" 42619092 42621495 "1p34.2" "p"
"GUCA2A" "chr1" 42628362 42630389 "1p34.2" "p"
"FOXJ3" "chr1" 42642210 42801548 "1p34.2" "p"
"PPCS" "chr1" 42921788 42939056 "1p34.2" "p"
"PPIH" "chr1" 43124096 43142429 "1p34.2" "p"
"YBX1" "chr1" 43148098 43168020 "1p34.2" "p"
"C1orf50" "chr1" 43232940 43263968 "1p34.2" "p"
"SLC2A1" "chr1" 43391052 43424530 "1p34.2" "p"
"EBNA1BP2" "chr1" 43629846 43736607 "1p34.2" "p"
"TMEM125" "chr1" 43735665 43739673 "1p34.2" "p"
"C1orf210" "chr1" 43747554 43751288 "1p34.2" "p"
"CDC20" "chr1" 43824626 43828874 "1p34.2" "p"
"ELOVL1" "chr1" 43829068 43833696 "1p34.2" "p"
"MED8" "chr1" 43849588 43855479 "1p34.2" "p"
"HYI" "chr1" 43916824 43919660 "1p34.2" "p"
"PTPRF" "chr1" 43990858 44089343 "1p34.2" "p"
"KDM4A" "chr1" 44115829 44171186 "1p34.2-p34.1" "p"
"DPH2" "chr1" 44435672 44439041 "1p34.1" "p"
"ATP6V0B" "chr1" 44440159 44443967 "1p34.1" "p"
"B4GALT2" "chr1" 44444615 44456840 "1p34.1" "p"
"CCDC24" "chr1" 44457031 44462200 "1p34.1" "p"
"DMAP1" "chr1" 44679127 44686353 "1p34.1" "p"
"ERI3" "chr1" 44686742 44820932 "1p34.1" "p"
"RNF220" "chr1" 44870866 45117396 "1p34.1" "p"
"TMEM53" "chr1" 45100910 45140227 "1p34.1" "p"
"RPS8" "chr1" 45240923 45244451 "1p34.1" "p"
"BEST4" "chr1" 45249257 45253377 "1p34.1" "p"
"PLK3" "chr1" 45265897 45271662 "1p34.1" "p"
"EIF2B3" "chr1" 45316450 45452282 "1p34.1" "p"
"HECTD3" "chr1" 45468212 45477001 "1p34.1" "p"
"UROD" "chr1" 45477819 45481247 "1p34.1" "p"
"HPDL" "chr1" 45792545 45794347 "1p34.1" "p"
"MUTYH" "chr1" 45794835 45806142 "1p34.1" "p"
"PRDX1" "chr1" 45976708 45988719 "1p34.1" "p"
"AKR1A1" "chr1" 46016215 46035721 "1p34.1" "p"
"NASP" "chr1" 46049518 46084566 "1p34.1" "p"
"GPBP1L1" "chr1" 46092976 46153785 "1p34.1" "p"
"TMEM69" "chr1" 46152886 46160115 "1p34.1" "p"
"MAST2" "chr1" 46252659 46501796 "1p34.1" "p"
"TSPAN1" "chr1" 46640745 46651630 "1p34.1" "p"
"POMGNT1" "chr1" 46654354 46685977 "1p34.1" "p"
"LRRC41" "chr1" 46726868 46769280 "1p34.1-p33" "p"
"UQCRH" "chr1" 46769303 46782448 "1p33" "p"
"NSUN4" "chr1" 46805849 46830824 "1p33" "p"
"FAAH" "chr1" 46859937 46879520 "1p33" "p"
"MKNK1" "chr1" 47023090 47082515 "1p33" "p"
"ATPAF1" "chr1" 47098409 47139539 "1p33" "p"
"EFCAB14" "chr1" 47124366 47184824 "1p33" "p"
"PDZK1IP1" "chr1" 47649265 47656716 "1p33" "p"
"CMPK1" "chr1" 47799469 47844511 "1p33" "p"
"FAF1" "chr1" 50905150 51425935 "1p32.3" "p"
"RNF11" "chr1" 51701943 51739127 "1p32.3" "p"
"TTC39A" "chr1" 51752930 51810788 "1p32.3" "p"
"EPS15" "chr1" 51819935 51985000 "1p32.3" "p"
"OSBPL9" "chr1" 52042851 52254889 "1p32.3" "p"
"TXNDC12" "chr1" 52485803 52521843 "1p32.3" "p"
"KTI12" "chr1" 52497775 52499488 "1p32.3" "p"
"BTF3L4" "chr1" 52521797 52556388 "1p32.3" "p"
"PRPF38A" "chr1" 52870236 52886511 "1p32.3" "p"
"ZCCHC11" "chr1" 52873954 53019159 NA "p"
"ZYG11B" "chr1" 53192126 53293014 "1p32.3" "p"
"ECHDC2" "chr1" 53361656 53392884 "1p32.3" "p"
"SCP2" "chr1" 53392901 53517375 "1p32.3" "p"
"CPT2" "chr1" 53662101 53679869 "1p32.3" "p"
"C1orf123" "chr1" 53679771 53686289 NA "p"
"MAGOH" "chr1" 53692564 53704282 "1p32.3" "p"
"NDC1" "chr1" 54231133 54304533 "1p32.3" "p"
"YIPF1" "chr1" 54317392 54356407 "1p32.3" "p"
"HSPB11" "chr1" 54382247 54411602 "1p32.3" "p"
"LRRC42" "chr1" 54411750 54433841 "1p32.3" "p"
"TMEM59" "chr1" 54497347 54519177 "1p32.3" "p"
"MRPL37" "chr1" 54649714 54691137 "1p32.3" "p"
"SSBP3" "chr1" 54691105 54879152 "1p32.3" "p"
"ACOT11" "chr1" 55007930 55104865 "1p32.3" "p"
"TTC22" "chr1" 55245385 55266940 "1p32.3" "p"
"DHCR24" "chr1" 55315306 55352891 "1p32.3" "p"
"PCSK9" "chr1" 55505221 55530525 "1p32.3" "p"
"USP24" "chr1" 55532032 55680786 "1p32.3" "p"
"OMA1" "chr1" 58881056 59012474 "1p32.2-p32.1" "p"
"TACSTD2" "chr1" 59041099 59043166 "1p32.1" "p"
"MYSM1" "chr1" 59120411 59165764 "1p32.1" "p"
"JUN" "chr1" 59246465 59249785 "1p32.1" "p"
"FGGY" "chr1" 59762310 60233347 "1p32.1" "p"
"HOOK1" "chr1" 60280458 60342050 "1p32.1" "p"
"CYP2J2" "chr1" 60358980 60392462 "1p32.1" "p"
"NFIA" "chr1" 61330931 61928465 "1p31.3" "p"
"TM2D1" "chr1" 62146718 62191095 "1p31.3" "p"
"INADL" "chr1" 62208149 62629592 NA "p"
"L1TD1" "chr1" 62660503 62678000 "1p31.3" "p"
"USP1" "chr1" 62901968 62917475 "1p31.3" "p"
"DOCK7" "chr1" 62920399 63153969 "1p31.3" "p"
"ALG6" "chr1" 63833261 63904233 "1p31.3" "p"
"ITGB3BP" "chr1" 63906441 64059392 "1p31.3" "p"
"PGM1" "chr1" 64058947 64125916 "1p31.3" "p"
"RAVER2" "chr1" 65210778 65298915 "1p31.3" "p"
"JAK1" "chr1" 65298912 65432187 "1p31.3" "p"
"AK4" "chr1" 65613232 65697828 "1p31.3" "p"
"LEPROT" "chr1" 65886270 65901690 "1p31.3" "p"
"INSL5" "chr1" 67263424 67266939 "1p31.3" "p"
"MIER1" "chr1" 67390578 67454302 "1p31.3" "p"
"SLC35D1" "chr1" 67465015 67519782 "1p31.3" "p"
"SERBP1" "chr1" 67873493 67896098 "1p31.3" "p"
"GADD45A" "chr1" 68150744 68154021 "1p31.3" "p"
"GNG12" "chr1" 68167149 68299150 "1p31.3" "p"
"WLS" "chr1" 68564142 68698803 "1p31.3" "p"
"SRSF11" "chr1" 70671365 70718735 "1p31.1" "p"
"ANKRD13C" "chr1" 70726271 70820417 "1p31.1" "p"
"HHLA3" "chr1" 70820488 70851022 "1p31.1" "p"
"CTH" "chr1" 70876901 70905534 "1p31.1" "p"
"ZRANB2" "chr1" 71528974 71546980 "1p31.1" "p"
"CRYZ" "chr1" 75171170 75199092 "1p31.1" "p"
"TYW3" "chr1" 75198836 75232362 "1p31.1" "p"
"ACADM" "chr1" 76190036 76253260 "1p31.1" "p"
"RABGGTB" "chr1" 76251879 76260764 "1p31.1" "p"
"PIGK" "chr1" 77554675 77685115 "1p31.1" "p"
"ZZZ3" "chr1" 78028101 78149104 "1p31.1" "p"
"USP33" "chr1" 78161672 78225537 "1p31.1" "p"
"FAM73A" "chr1" 78245309 78344106 NA "p"
"FUBP1" "chr1" 78409740 78444794 "1p31.1" "p"
"DNAJB4" "chr1" 78444859 78483648 "1p31.1" "p"
"GIPC2" "chr1" 78445226 78604133 "1p31.1" "p"
"RP11-386I14.4" "chr1" 78470030 78470238 NA "p"
"IFI44L" "chr1" 79085607 79111830 "1p31.1" "p"
"IFI44" "chr1" 79115481 79129763 "1p31.1" "p"
"PRKACB" "chr1" 84543745 84704181 "1p31.1" "p"
"SAMD13" "chr1" 84764049 84855640 "1p31.1" "p"
"RPF1" "chr1" 84944942 84963473 "1p22.3" "p"
"GNG5" "chr1" 84964008 84972248 "1p22.3" "p"
"CTBS" "chr1" 85015289 85040163 "1p22.3" "p"
"SSX2IP" "chr1" 85109390 85156486 "1p22.3" "p"
"C1orf52" "chr1" 85715639 85725355 "1p22.3" "p"
"BCL10" "chr1" 85731931 85742773 "1p22.3" "p"
"DDAH1" "chr1" 85784164 86043933 "1p22.3" "p"
"CYR61" "chr1" 86046444 86049645 NA "p"
"ZNHIT6" "chr1" 86115106 86174116 "1p22.3" "p"
"ODF2L" "chr1" 86814344 86862023 "1p22.3" "p"
"CLCA1" "chr1" 86934051 86965972 "1p22.3" "p"
"CLCA4" "chr1" 87012761 87046437 "1p22.3" "p"
"SH3GLB1" "chr1" 87170259 87213867 "1p22.3" "p"
"SEP15" "chr1" 87328132 87380107 NA "p"
"HS2ST1" "chr1" 87380331 87602334 "1p22.3" "p"
"LMO4" "chr1" 87794151 87814606 "1p22.3" "p"
"PKN2" "chr1" 89149905 89301938 "1p22.2" "p"
"GTF2B" "chr1" 89318615 89357627 "1p22.2" "p"
"CCBL2" "chr1" 89401456 89458636 NA "p"
"RBMXL1" "chr1" 89445139 89458643 "1p22.2" "p"
"GBP3" "chr1" 89472349 89488577 "1p22.2" "p"
"GBP1" "chr1" 89518002 89531043 "1p22.2" "p"
"GBP2" "chr1" 89571815 89616139 "1p22.2" "p"
"LRRC8B" "chr1" 89990395 90063423 "1p22.2" "p"
"LRRC8D" "chr1" 90286573 90402170 "1p22.2" "p"
"ZNF326" "chr1" 90460671 90501090 "1p22.2" "p"
"ZNF644" "chr1" 91380859 91487829 "1p22.2" "p"
"TGFBR3" "chr1" 92145902 92371892 "1p22.1" "p"
"EPHX4" "chr1" 92495539 92529093 "1p22.1" "p"
"RPAP2" "chr1" 92764522 92867613 "1p22.1" "p"
"EVI5" "chr1" 92974253 93257961 "1p22.1" "p"
"RPL5" "chr1" 93297582 93307481 "1p22.1" "p"
"MTF2" "chr1" 93544792 93604638 "1p22.1" "p"
"TMED5" "chr1" 93615299 93646285 "1p22.1" "p"
"DR1" "chr1" 93811445 93835055 "1p22.1" "p"
"FNBP1L" "chr1" 93913688 94020218 "1p22.1" "p"
"BCAR3" "chr1" 94027347 94312706 "1p22.1" "p"
"DNTTIP2" "chr1" 94333373 94345474 "1p22.1" "p"
"GCLM" "chr1" 94350761 94374966 "1p22.1" "p"
"ARHGAP29" "chr1" 94614544 94740624 "1p22.1" "p"
"ABCD3" "chr1" 94883933 94984222 "1p21.3" "p"
